,place_id,place_name,lat,lng,place_address,category
13923,14716,천주교수서동성당,37.484721,127.094872,서울특별시 강남구 광평로 199,종교집회장
13925,14717,천주교수유동교회,37.633816100000004,127.01792379999999,서울특별시 강북구 삼양로 336-15,종교집회장
13927,14718,천주교신당동교회 가동,37.5610939,127.0189939,서울특별시 중구 다산로36가길 7,종교집회장
13929,14719,천주교여의도교회,37.5215518,126.9390178,서울특별시 영등포구 여의동로 257,종교집회장
13932,14720,천주교연희동교회,37.5638735,126.929143,서울특별시 서대문구 연희로 64-4,종교집회장
13934,14721,천주교용산교회,37.536842299999996,126.95230420000001,서울특별시 용산구 효창원로15길 37,종교집회장
13936,14722,천주교우이성당,37.6562077,127.01668159999998,서울특별시 도봉구 우이천로48길  17,종교집회장
13939,14723,천주교자양동성당,37.533850799999996,127.0683604,서울특별시 광진구 능동로4길 13,종교집회장
13941,14724,천주교잠실7동 성당,37.504076500000004,127.07956229999999,서울특별시 송파구 백제고분로12길 26,종교집회장
13943,14725,천주교풍납동교회,37.5314128,127.11081270000001,서울특별시 송파구 토성로1길  21,종교집회장
13946,14726,천주교행당동성당,37.555574799999995,127.03206589999999,서울특별시 성동구 행당로6길  74,종교집회장
13949,14727,천주교회,37.508722999999996,126.9604614,서울특별시 동작구 흑석로13길 3,종교집회장
13952,14728,천주반포4동성당,37.49936320000001,127.009721,서울특별시 서초구 고무래로10길  38,종교집회장
13954,14729,천호제일교회,37.5453167,127.1361991,서울특별시 강동구 천중로27길 51,종교집회장
13957,14730,청량리교회,37.584530799999996,127.045414,서울특별시 동대문구 약령시로21길 25,종교집회장
13960,14732,청량리성당,37.5844201,127.0449523,서울특별시 동대문구 홍릉로8길 14,종교집회장
13962,14733,청소년드림센터(용도변경),37.4771294,127.0518616,서울특별시 강남구 개포로28길 47,지역자치센터
13967,14737,청암샘물교회,37.5355566,126.94835929999999,서울특별시 용산구 새창로8길  183,종교집회장
13970,14738,청운교회,37.4956662,127.04521399999999,서울특별시 강남구 언주로65길 6,종교집회장
13973,14739,청죽교회,37.5927143,126.92395829999998,서울특별시 은평구 백련산로2길 7,종교집회장
13976,14740,초동교회,37.5717633,126.99127209999999,서울특별시 종로구 돈화문로5가길 23,종교집회장
13979,14743,충신교회,37.5818698,126.9107423,서울특별시 서대문구 응암로1길  16,종교집회장
13982,14744,충심교회,37.487777200000004,126.8986858,서울특별시 영등포구 디지털로 338-8,종교집회장
13985,14745,충현교회,37.5028907,127.03635890000001,서울특별시 강남구 논현로 518,종교집회장
13988,14746,카톨릭교리신학원,37.59355,127.0000222,서울특별시 성북구 성북로 80,교육원·직업훈련소·학원
13990,14754,큰나무교회(방화중앙교회),37.5792347,126.81000139999999,서울특별시 강서구 금낭화로  232,종교집회장
13993,14755,큰빛교회,37.4880195,127.0173334,서울특별시 서초구 사임당로12길 23,종교집회장
13996,14756,큰은혜교회,37.47573060000001,126.95982079999999,서울특별시 관악구 낙성대로3길 5,종교집회장
13998,14760,통일교세계본부교회,37.52443510000001,126.9693703,서울특별시 용산구 서빙고로 39,종교집회장
14000,14765,평강교회,37.6033737,127.09535929999998,서울특별시 중랑구 신내로 47-1,종교집회장
14002,14766,평강제일교회,37.4918246,126.8450794,서울특별시 구로구 오류로8라길 50,종교집회장
14005,14767,평성교회,37.5462643,127.1277733,서울특별시 강동구 올림픽로88길 28,종교집회장
14008,14768,평화교회,37.5031156,126.8532376,서울특별시 구로구 고척로52가길 57,종교집회장
14011,14769,풍년교회,37.5530975,126.8329246,서울특별시 강서구 강서로47길  60,종교집회장
14013,14772,필운동 천주교 성당,37.5754251,126.9700132,서울특별시 종로구 사직로8길 9,종교집회장
14015,14773,하나님의 교회,37.4780456,126.9601733,서울특별시 관악구 남부순환로 1900,종교집회장
14018,14774,하나님의교회,37.5873075,127.0669017,서울특별시 동대문구 한천로53길 6,종교집회장
14019,14777,하늘도서관,37.4874006,126.8813706,서울특별시 구로구 구로동로13길 68,도서관
14020,14778,하늘비전교회,37.6451562,127.01272730000001,서울특별시 강북구 삼양로123길 54,종교집회장
14023,14780,학산기술정보도서관,37.6135283,126.97580430000001,서울특별시 종로구 평창34길  11,도서관
14025,14782,한강중앙교회(증축),37.5494625,126.90980420000001,서울특별시 마포구 포은로2가길 66,종교집회장
14028,14794,한국대학생 성경읽기 선교회,37.5744174,127.0011936,서울특별시 종로구 대학로3길 20,종교집회장
14029,14796,한국루터교도봉교회,37.66423820000001,127.0412175,서울특별시 도봉구 방학로2길   30,종교집회장
14032,14798,한국사회과학 도서관,37.5734731,126.96434769999999,서울특별시 종로구 인왕산로1길  25,도서관
14036,14804,한국천부교시흥교회,37.4420253,126.9063071,서울특별시 금천구 시흥대로26길  45,종교집회장
14038,14805,한국천부교천호동교회,37.5372708,127.1298287,서울특별시 강동구 천호대로163길 15-25,종교집회장
14040,14806,한남교회,37.5228594,126.9032902,서울특별시 영등포구 양산로   182,종교집회장
14043,14807,한남중앙교회,37.5340986,127.0032412,서울특별시 용산구 대사관로19길 11,종교집회장
14044,14809,한밀교회,37.5508766,126.82774009999999,서울특별시 강서구 수명로2길 88,종교집회장
14047,14810,한빛교회,37.5018265,127.10148999999998,서울특별시 송파구 가락로5길 28,종교집회장
14050,14811,한사랑교회,37.5562829,126.8171021,서울특별시 강서구 방화대로6나길 28,종교집회장
14053,14815,한양교회,37.568830299999995,127.04450859999999,서울특별시 성동구 마장로39길  48,종교집회장
14056,14816,한영교회,37.528494200000004,126.90480149999999,서울특별시 영등포구 영중로41길   5,종교집회장
